bh_name,bh_ra_deg,bh_dec_deg,bh_ra_hms,bh_dec_dms,k_object_ra_deg,k_object_dec_deg,k_object_ra_hms,k_object_dec_dms,sep_arcsec,k_mag,k_mag_err,ph_qual,cc_flg
Swift J1727.8-1613,261.93045833333326,-16.205341666666666,+17:27:43.31,-16:12:19.23,261.938484,-16.205488,+17:27:45.24,-16:12:19.76,27.749428248915116,11.861000061035156,0.027400000020861626,A,000
MAXI J1820+070 ASASSN-18ey = V3721 Oph,275.0914166666666,7.185330555555556,+18:20:21.94,+07:11:07.19,275.091321,7.190243,+18:20:21.92,+07:11:24.87,17.688100674895264,12.029000282287598,0.027400000020861626,A,000
MAXI J1305-704,196.73041666666666,-70.45141944444445,+13:06:55.30,-70:27:05.11,196.736013,-70.455399,+13:06:56.64,-70:27:19.44,15.832913985134104,14.184000015258789,0.08240000158548355,A,000
XTE J1650-500,252.50408333333328,-49.96211111111111,+16:50:00.98,-49:57:43.60,252.511855,-49.963936,+16:50:02.85,-49:57:50.17,19.15928691762843,11.147000312805176,0.02319999970495701,A,000
XTE J1118+480 KV UMa,169.5449583333333,48.03678333333333,+11:18:10.79,+48:02:12.42,169.544987,48.036835,+11:18:10.80,+48:02:12.61,0.19838772438964536,12.083999633789062,0.019899999722838402,A,000
XTE J1859+226 V406 Vul,284.67324999999994,22.658166666666666,+18:58:41.58,+22:39:29.40,284.672868,22.661119,+18:58:41.49,+22:39:40.03,10.70389504142433,13.22599983215332,0.039900001138448715,A,000
SAX J1819.3-2525 V4641 Sgr,274.8399166666666,-25.406972222222223,+18:19:21.58,-25:24:25.10,274.844158,-25.402407,+18:19:22.60,-25:24:08.67,21.455313116807318,8.258999824523926,0.025699999183416367,A,000
XTE J1550-564 V381 Nor,237.74458333333334,-56.476444444444446,+15:50:58.70,-56:28:35.20,237.754935,-56.470886,+15:51:01.18,-56:28:15.19,28.70655516642972,9.255999565124512,0.019200000911951065,A,000
GRO J1655-40 N Sco 1994 = V1033 Sco,253.50058333333325,-39.84580555555556,+16:54:00.14,-39:50:44.90,253.504081,-39.853188,+16:54:00.98,-39:51:11.48,28.280315855760463,9.14799976348877,0.019099999219179153,A,000
GRS 1009-45 N Vel 1993 = MM Vel,153.40141666666665,-45.07541666666667,+10:13:36.34,-45:04:31.50,153.40923,-45.077061,+10:13:38.22,-45:04:37.42,20.726338130159036,14.447999954223633,0.08760000020265579,A,000
GRS 1915+105 V1487 Aql,288.79812499999997,10.945777777777778,+19:15:11.55,+10:56:44.80,288.796986,10.940998,+19:15:11.28,+10:56:27.59,17.671872590384147,9.031999588012695,0.021400000900030136,A,000
GRO J0422+32 V518 Per,65.42829166666665,32.90752777777777,+04:21:42.79,+32:54:27.10,65.427351,32.913765,+04:21:42.56,+32:54:49.55,22.633260103176088,14.112000465393066,0.04610000178217888,A,000
GRS 1124-684 N Mus 1991 = GU Mus,171.61104166666664,-68.67578611111112,+11:26:26.65,-68:40:32.83,171.602629,-68.676804,+11:26:24.63,-68:40:36.49,11.606592837378491,11.973999977111816,0.0210999995470047,A,000
GS 2023+338 V404 Cyg,306.0159166666666,33.86719444444444,+20:24:03.82,+33:52:01.90,306.010169,33.86911,+20:24:02.44,+33:52:08.80,18.512997479006106,11.633999824523926,0.018400000408291817,A,000
GS 2000+251 QZ Vul,300.70616666666666,25.23648888888889,+20:02:49.48,+25:14:11.36,300.709555,25.234528,+20:02:50.29,+25:14:04.30,13.098792359515155,13.0,0.031099999323487282,A,000
GS 1354-64 BW Cir,209.54041666666663,-64.73494444444445,+13:58:09.70,-64:44:05.80,209.554818,-64.730141,+13:58:13.16,-64:43:48.51,28.084672277688416,10.649999618530273,0.0210999995470047,A,000
H 1705-250 N Oph 1977 = V2107 Oph,257.06049999999993,-25.091708333333333,+17:08:14.52,-25:05:30.15,257.058757,-25.084896,+17:08:14.10,-25:05:05.63,25.174202750734764,10.50100040435791,0.019200000911951065,A,000
3A 0620-003 N Mon 1975 = V616 Mon,95.68541666666664,-0.34575555555555554,+06:22:44.50,-00:20:44.72,95.680601,-0.340628,+06:22:43.34,-00:20:26.26,25.323547270451666,12.755999565124512,0.027400000020861626,A,000
1H 1659-487 GX 339-4 = V821 Ara,255.70583333333332,-48.789833333333334,+17:02:49.40,-48:47:23.40,255.707177,-48.793381,+17:02:49.72,-48:47:36.17,13.163172682415414,9.506999969482422,0.022600000724196434,A,000
4U 1543-475 IL Lup,236.78466666666662,-47.669666666666664,+15:47:08.32,-47:40:10.80,236.786922,-47.670734,+15:47:08.86,-47:40:14.64,6.68258940623992,10.605999946594238,0.02449999935925007,A,000
