bh_name,bh_ra,bh_dec,star_ra,star_dec,sep_arcsec,k_mag,k_mag_err,ph_qual,cc_flg
Swift J1727.8-1613,17:27:43.31,-16:12:19.23,17:27:45.24,-16:12:19.76,27.749428248915116,11.861000061035156,0.027400000020861626,A,000
MAXI J1820+070 ASASSN-18ey = V3721 Oph,18:20:21.94,+07:11:07.19,18:20:21.92,+7:11:24.87,17.688100674895264,12.029000282287598,0.027400000020861626,A,000
MAXI J1305-704,13:06:55.30,-70:27:05.11,13:06:56.64,-70:27:19.44,15.832913985134104,14.184000015258789,0.08240000158548355,A,000
XTE J1650-500,16:50:00.98,-49:57:43.60,16:50:02.85,-49:57:50.17,19.15928691762843,11.147000312805176,0.02319999970495701,A,000
XTE J1118+480 KV UMa,11:18:10.79,+48:02:12.42,11:18:10.80,+48:02:12.61,0.19838772438964536,12.083999633789062,0.019899999722838402,A,000
XTE J1859+226 V406 Vul,18:58:41.58,+22:39:29.40,18:58:41.49,+22:39:40.03,10.70389504142433,13.22599983215332,0.039900001138448715,A,000
SAX J1819.3-2525 V4641 Sgr,18:19:21.58,-25:24:25.10,18:19:22.60,-25:24:08.67,21.455313116807318,8.258999824523926,0.025699999183416367,A,000
XTE J1550-564 V381 Nor,15:50:58.70,-56:28:35.20,15:51:01.18,-56:28:15.19,28.70655516642972,9.255999565124512,0.019200000911951065,A,000
GRO J1655-40 N Sco 1994 = V1033 Sco,16:54:00.14,-39:50:44.90,16:54:00.98,-39:51:11.48,28.280315855760463,9.14799976348877,0.019099999219179153,A,000
GRS 1009-45 N Vel 1993 = MM Vel,10:13:36.34,-45:04:31.50,10:13:38.22,-45:04:37.42,20.726338130159036,14.447999954223633,0.08760000020265579,A,000
GRS 1915+105 V1487 Aql,19:15:11.55,+10:56:44.80,19:15:11.28,+10:56:27.59,17.671872590384147,9.031999588012695,0.021400000900030136,A,000
GRO J0422+32 V518 Per,04:21:42.79,+32:54:27.10,4:21:42.56,+32:54:49.55,22.633260103176088,14.112000465393066,0.04610000178217888,A,000
GRS 1124-684 N Mus 1991 = GU Mus,11:26:26.65,-68:40:32.83,11:26:24.63,-68:40:36.49,11.606592837378491,11.973999977111816,0.0210999995470047,A,000
GS 2023+338 V404 Cyg,20:24:03.82,+33:52:01.90,20:24:02.44,+33:52:08.80,18.512997479006106,11.633999824523926,0.018400000408291817,A,000
GS 2000+251 QZ Vul,20:02:49.48,+25:14:11.36,20:02:50.29,+25:14:04.30,13.098792359515155,13.0,0.031099999323487282,A,000
GS 1354-64 BW Cir,13:58:09.70,-64:44:05.80,13:58:13.16,-64:43:48.51,28.084672277688416,10.649999618530273,0.0210999995470047,A,000
H 1705-250 N Oph 1977 = V2107 Oph,17:08:14.52,-25:05:30.15,17:08:14.10,-25:05:05.63,25.174202750734764,10.50100040435791,0.019200000911951065,A,000
3A 0620-003 N Mon 1975 = V616 Mon,06:22:44.50,-00:20:44.72,6:22:43.34,-0:20:26.26,25.323547270451666,12.755999565124512,0.027400000020861626,A,000
1H 1659-487 GX 339-4 = V821 Ara,17:02:49.40,-48:47:23.40,17:02:49.72,-48:47:36.17,13.163172682415414,9.506999969482422,0.022600000724196434,A,000
4U 1543-475 IL Lup,15:47:08.32,-47:40:10.80,15:47:08.86,-47:40:14.64,6.68258940623992,10.605999946594238,0.02449999935925007,A,000
