bh_name,bh_ra,bh_dec,star_ra,star_dec,sep_arcsec,rp_mag
Swift J1727.8-1613,17:27:43.31,-16:12:19.23,17:27:45.24,-16:12:19.79,27.755254526644677,13.528909683227539
MAXI J1820+070 ASASSN-18ey = V3721 Oph,18:20:21.94,+07:11:07.19,18:20:21.92,+07:11:24.75,17.55792504698146,13.024236679077148
MAXI J1305-704,13:06:55.30,-70:27:05.11,13:06:56.64,-70:27:19.43,15.80782741705924,15.196788787841797
XTE J1650-500,16:50:00.98,-49:57:43.60,16:50:02.85,-49:57:50.30,19.201608149835995,13.972783088684082
XTE J1118+480 KV UMa,11:18:10.79,+48:02:12.42,11:18:12.01,+48:02:18.43,13.633184986738284,18.013132095336914
XTE J1859+226 V406 Vul,18:58:41.58,+22:39:29.40,18:58:41.69,+22:39:12.79,16.672403623667293,15.616519927978516
SAX J1819.3-2525 V4641 Sgr,18:19:21.58,-25:24:25.10,18:19:22.60,-25:24:08.72,21.407671064931996,11.320789337158203
XTE J1550-564 V381 Nor,15:50:58.70,-56:28:35.20,15:50:58.44,-56:28:17.45,17.88120391413894,13.122036933898926
GRO J1655-40 N Sco 1994 = V1033 Sco,16:54:00.14,-39:50:44.90,16:53:58.05,-39:50:43.25,24.163536049850094,13.477113723754883
GRS 1009-45 N Vel 1993 = MM Vel,10:13:36.34,-45:04:31.50,10:13:34.79,-45:04:18.24,21.141238546702922,15.6134672164917
GRS 1915+105 V1487 Aql,19:15:11.55,+10:56:44.80,19:15:10.70,+10:57:07.09,25.59724429330895,16.567716598510742
GRO J0422+32 V518 Per,04:21:42.79,+32:54:27.10,04:21:42.57,+32:54:49.49,22.55929569408586,15.593207359313965
GRS 1124-684 N Mus 1991 = GU Mus,11:26:26.65,-68:40:32.83,11:26:24.62,-68:40:36.58,11.69284610423192,13.948652267456055
GS 2023+338 V404 Cyg,20:24:03.82,+33:52:01.90,20:24:02.44,+33:52:08.73,18.542309136967233,15.273788452148438
GS 2000+251 QZ Vul,20:02:49.48,+25:14:11.36,20:02:51.10,+25:14:29.20,28.257402483552763,15.33523941040039
GS 1354-64 BW Cir,13:58:09.70,-64:44:05.80,13:58:13.14,-64:43:48.56,27.960976080141023,13.51561450958252
H 1705-250 N Oph 1977 = V2107 Oph,17:08:14.52,-25:05:30.15,17:08:14.10,-25:05:05.79,25.010860657692636,12.9525785446167
3A 0620-003 N Mon 1975 = V616 Mon,06:22:44.50,-00:20:44.72,06:22:43.34,-00:20:26.25,25.351249340845353,14.048023223876953
1H 1659-487 GX 339-4 = V821 Ara,17:02:49.40,-48:47:23.40,17:02:49.72,-48:47:36.33,13.309339659405493,12.080129623413086
4U 1543-475 IL Lup,15:47:08.32,-47:40:10.80,15:47:08.84,-47:40:14.83,6.656585162035375,11.362226486206055
